c4 c6	A11	English Opening: Caro-Kann Defensive System
e4 c6 d4 d5 Nd2 dxe4 Nxe4 Bf5 Ng3 Bg6 h4 h6 Nf3 Nd7 h5 Bh7 Bd3 Bxd3 Qxd3 e6 Bd2 Ngf6 O-O-O Be7	B19	Caro-Kann Defense: Classical Variation, Lobron System
e4 c6 d4 d5 Nd2 dxe4 Nxe4 Bf5 Ng5 Bg6 N1f3 h6 Ne6	B18	Caro-Kann Defense: Martian Gambit
e4 c6 d4 d5 Nd2 dxe4 Nxe4 Nd7	B17	Caro-Kann Defense: Karpov Variation
e4 c6 d4 d5 Nd2 dxe4 Nxe4 Nd7 Bc4 Ngf6 Ng5 e6 Qe2 Nb6	B17	Caro-Kann Defense: Karpov Variation, Smyslov Variation
e4 c6 d4 d5 Nd2 dxe4 Nxe4 Nd7 Bc4 Ngf6 Ng5 e6 Qe2 Nb6 Bb3	B17	Caro-Kann Defense: Karpov Variation, Smyslov Variation, Main Line
e4 c6 d4 d5 Nd2 dxe4 Nxe4 Nd7 Bc4 Ngf6 Nxf6+ Nxf6	B17	Caro-Kann Defense: Karpov Variation, Tiviakov-Fischer Attack
e4 c6 d4 d5 Nd2 dxe4 Nxe4 Nd7 Ng5	B17	Caro-Kann Defense: Karpov Variation, Modern Variation
e4 c6 d4 d5 Nd2 dxe4 Nxe4 Nd7 Ng5 Ndf6	B17	Caro-Kann Defense: Karpov Variation, Modern Variation, Ivanchuk Defense
e4 c6 d4 d5 Nd2 dxe4 Nxe4 Nd7 Ng5 Ngf6 Bd3 e6 N1f3 Bd6 Qe2 h6 Ne4 Nxe4 Qxe4	B17	Caro-Kann Defense: Karpov Variation, Modern Main Line
e4 c6 d4 d5 Nd2 dxe4 Nxe4 h6	B16	Caro-Kann Defense: Finnish Variation
e4 c6 d4 d5 Nf3 dxe4 Ng5	B12	Caro-Kann Defense: Ulysses Gambit
e4 c6 d4 d5 e5	B12	Caro-Kann Defense: Advance Variation
e4 c6 d4 d5 e5 Bf5 Nc3	B12	Caro-Kann Defense: Advance Variation, Van der Wiel Attack
e4 c6 d4 d5 e5 Bf5 Nc3 Qb6	B12	Caro-Kann Defense: Advance Variation, Van der Wiel Attack, Dreyev Defense
e4 c6 d4 d5 e5 Bf5 Nc3 e6 g4 Bg6 Nge2 c5 h4	B12	Caro-Kann Defense: Advance Variation, Van der Wiel Attack
e4 c6 d4 d5 e5 Bf5 Ne2	B12	Caro-Kann Defense: Advance Variation, Bronstein Variation
e4 c6 d4 d5 e5 Bf5 Nf3	B12	Caro-Kann Defense: Advance Variation, Short Variation
e4 c6 d4 d5 e5 Bf5 b4	B12	Caro-Kann Defense: Advance Variation, Prins Attack
e4 c6 d4 d5 e5 Bf5 c3 e6 Be2	B12	Caro-Kann Defense: Advance, Short Variation
e4 c6 d4 d5 e5 Bf5 g4	B12	Caro-Kann Defense: Advance Variation, Bayonet Attack
e4 c6 d4 d5 e5 Bf5 h4	B12	Caro-Kann Defense: Advance Variation, Tal Variation
e4 c6 d4 d5 e5 c5	B12	Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense
e4 c6 d4 d5 exd5	B13	Caro-Kann Defense: Exchange Variation
e4 c6 d4 d5 exd5 cxd5	B13	Caro-Kann Defense: Exchange Variation
e4 c6 d4 d5 exd5 cxd5 Bd3 Nc6 c3 Nf6 Bf4	B13	Caro-Kann Defense: Exchange Variation, Rubinstein Variation
e4 c6 d4 d5 exd5 cxd5 Bf4	B13	Caro-Kann Defense: Exchange Variation
e4 c6 d4 d5 exd5 cxd5 Nf3 Nc6	B13	Caro-Kann Defense: Exchange Variation
e4 c6 d4 d5 exd5 cxd5 c4	B13	Caro-Kann Defense: Panov Attack
e4 c6 d4 d5 exd5 cxd5 c4 Nc6 Nc3 Nf6 Nf3 e6 cxd5 exd5 Bb5 Bd6 Bg5 O-O O-O	B14	Caro-Kann Defense: Panov Attack
e4 c6 d4 d5 exd5 cxd5 c4 Nc6 Nc3 Nf6 Nf3 e6 cxd5 exd5 Bb5 Bg4	B14	Caro-Kann Defense: Panov Attack
e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3	B13	Caro-Kann Defense: Panov Attack
e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3 Nc6	B13	Caro-Kann Defense: Panov Attack, Modern Defense
e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3 Nc6 Bg5 Qa5	B13	Caro-Kann Defense: Panov Attack, Modern Defense, Czerniak Line
e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3 Nc6 Bg5 Qb6	B13	Caro-Kann Defense: Panov Attack, Modern Defense, Reifir-Spielmann Line
e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3 Nc6 Bg5 dxc4 d5 Na5	B13	Caro-Kann Defense: Panov-Botvinnik, Herzog Defense
e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3 Nc6 Bg5 e6	B13	Caro-Kann Defense: Panov Attack, Modern Defense, Carlsbad Line
e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3 Nc6 Nf3 Bg4	B13	Caro-Kann Defense: Panov Attack, Modern Defense, Mieses Line
e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3 Nc6 Nf3 e6 c5	B14	Caro-Kann Defense: Panov Attack
e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3 e6	B14	Caro-Kann Defense: Panov Attack
e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3 e6 Nf3 Bb4	B14	Caro-Kann Defense: Panov Attack, Main Line
e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3 g6	B14	Caro-Kann Defense: Panov Attack, Fianchetto Defense
e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3 g6 cxd5 Bg7	B14	Caro-Kann Defense: Panov Attack, Fianchetto Defense, Fianchetto Gambit
e4 c6 d4 d5 exd5 cxd5 c4 Nf6 c5	B13	Caro-Kann Defense: Panov Attack, Gunderam Attack
e4 c6 d4 d5 exd5 cxd5 g4	B13	Caro-Kann Defense: Exchange Variation, Bulla Attack
e4 c6 d4 d5 f3	B12	Caro-Kann Defense: Maróczy Variation
e4 c6 d4 d5 f3 dxe4 fxe4 e5 Nf3 exd4 Bc4	B12	Caro-Kann Defense: Maróczy Variation, Maróczy Gambit
e4 c6 d4 f5	B12	Caro-Kann Defense: Massachusetts Defense
e4 c6 g4	B10	Caro-Kann Defense: Spike Variation
e4 c6 g4 d5 Nc3 dxe4 d3	B10	Caro-Kann Defense: Spike Variation, Scorpion-Grob Gambit
